#,Chat #,Kennung,Startzeit: Datum,Startzeit: Zeit,Letzte Aktivität: Datum,Letzte Aktivität: Zeit,Name,Beschreibung,Teilnehmer,Anzahl der Anhänge,Quelle,Konto,Gelöschte - Chat,Tag-Hinweis - Chat,Rekonstruiert,Manuell decodiert,Instant Message #,Von,An,Zeitstempel der Teilnehmer,Cc,Bcc,Priorität,Betreff,Text,Status,Plattform,Label,Ort,Zeitstempel: Datum,Zeitstempel: Zeit,Zugestellt: Datum,Zugestellt: Zeit,Gelesen: Datum,Gelesen: Zeit,Deletion Date: Datum,Deletion Date: Zeit,Anhang #1,Anhang #1 - Details,Gelöschte - Instant Message,Tag-Hinweis - Instant Message,Quelldatei-Informationen,Mit Sternchen markierte Nachricht,Mitteilung Rekonstruiert,Mitteilung Manuell decodiert
1,1,4915225737497@s.whatsapp.net,17.12.2022,17.12.2022 20:01:00(UTC+1),19.12.2022,19.12.2022 11:49:24(UTC+1),,,"4915225737497@s.whatsapp.net Helmut Franz 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",,WhatsApp,491756643753@s.whatsapp.net,,,,,1,4915225737497@s.whatsapp.net Helmut Franz,,,,,,,Moin Siggi, lang nichts gehört. Wie gehts dir?,,Mobile,,,17.12.2022,17.12.2022 20:01:00(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x1576F (Tabelle: message, Größe: 436752 Bytes)
31,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,20,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Treffen wir uns morgen eigentlich bei dir oder bei mir?,Gelesen,Mobile,,,15.12.2022,15.12.2022 10:57:47(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15DA1 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
32,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,21,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Wir könnten bei mir kochen?,,Mobile,,,15.12.2022,15.12.2022 11:37:07(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15D3E (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
33,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,22,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Klingt gut. Wie wäre es mit Lasagne?,Gelesen,Mobile,,,15.12.2022,15.12.2022 11:37:34(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15CD4 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
34,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,23,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Oh ja, gute Idee!,,Mobile,,,15.12.2022,15.12.2022 11:37:50(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15C7C (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
35,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,24,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Dann bin ich um 16 Uhr bei dir und wir gehen dann zusammen einkaufne,Gelesen,Mobile,,,15.12.2022,15.12.2022 12:01:03(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15BF3 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
36,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,25,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Klingt nach nem Plan :),,Mobile,,,15.12.2022,15.12.2022 12:04:37(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15B93 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
37,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,26,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Freue mich auf nachher!,Gelesen,Mobile,,,16.12.2022,16.12.2022 08:27:03(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x1590F (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
38,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,27,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Ich mich auch 🥰,,Mobile,,,16.12.2022,16.12.2022 13:47:06(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15826 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
39,9,Huberta d. Große,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:40(UTC+1),Huberta d. Große,,"Owner (Eigentümer) 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,1,Owner,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,"Ruf mich einfach zurück wenn es dir passt.
Siggi",,Unknown,,,05.12.2022,05.12.2022 12:37:18(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x5DE9 (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
40,9,Huberta d. Große,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:40(UTC+1),Huberta d. Große,,"Owner (Eigentümer) 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,2,Owner,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,Ich brauche noch deine Bankverbindung. Wir machen ,,Unknown,,,15.12.2022,15.12.2022 11:24:35(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x5491 (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
41,9,Huberta d. Große,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:40(UTC+1),Huberta d. Große,,"Owner (Eigentümer) 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,3,+491756654642 Huberta d. Große,"Owner (Eigentümer) 
","Owner (Eigentümer) 
",,,,,"Huberta die Große
DE17 1203 0000 1050 DE17 1203 00",,Unknown,,,16.12.2022,16.12.2022 09:26:39(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x53C2 (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
42,9,Huberta d. Große,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:40(UTC+1),Huberta d. Große,,"Owner (Eigentümer) 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,4,+491756654642 Huberta d. Große,"Owner (Eigentümer) 
","Owner (Eigentümer) 
",,,,,die untere ist es...,,Unknown,,,16.12.2022,16.12.2022 09:27:11(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x5312 (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
43,9,Huberta d. Große,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:40(UTC+1),Huberta d. Große,,"Owner (Eigentümer) 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,5,Owner,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,👍,,Unknown,,,16.12.2022,16.12.2022 09:27:40(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x5270 (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
44,10,2,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:42(UTC+1),,,"(Eigentümer) Unbekannt 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,1,,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,"Ruf mich einfach zurück wenn es dir passt.
Siggi",Gesendet,Unknown,,,05.12.2022,05.12.2022 12:37:20(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14ADE3 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
45,10,2,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:42(UTC+1),,,"(Eigentümer) Unbekannt 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,2,,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,Ich brauche noch deine Bankverbindung. Wir machen 50:50 wie immer! ,Unverschickt,Unknown,,,15.12.2022,15.12.2022 11:24:35(UTC+1),,,,,,,,,Ja,,userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x102299 (Größe: 1388472 Bytes),Nein,,
46,10,2,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:42(UTC+1),,,"(Eigentümer) Unbekannt 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,3,,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,Ich brauche noch deine Bankverbindung. Wir machen 50:50 wie immer! ,Gesendet,Unknown,,,15.12.2022,15.12.2022 11:24:39(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14A959 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
47,10,2,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:42(UTC+1),,,"(Eigentümer) Unbekannt 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,4,+491756654642 Huberta d. Große,"(Eigentümer) Unbekannt 
","(Eigentümer) Unbekannt 
",,,,,"Huberta die Große
DE17 1203 0000 1050 DE17 1203 0000 1050 9100 50",Gelesen,Unknown,,,16.12.2022,16.12.2022 09:26:39(UTC+1),16.12.2022,16.12.2022 09:26:37(UTC+1),,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14A8C3 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
48,10,2,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:42(UTC+1),,,"(Eigentümer) Unbekannt 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,5,+491756654642 Huberta d. Große,"(Eigentümer) Unbekannt 
","(Eigentümer) Unbekannt 
",,,,,die untere ist es...,Gelesen,Unknown,,,16.12.2022,16.12.2022 09:27:11(UTC+1),16.12.2022,16.12.2022 09:27:11(UTC+1),,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14A85B (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
49,10,2,05.12.2022,05.12.2022 12:37:18(UTC+1),16.12.2022,16.12.2022 09:27:42(UTC+1),,,"(Eigentümer) Unbekannt 
+491756654642 Huberta d. Große 
",,Native Messages,,,,,,6,,"+491756654642 Huberta d. Große 
","+491756654642 Huberta d. Große 
",,,,,👍,Gesendet,Unknown,,,16.12.2022,16.12.2022 09:27:42(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14A817 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
50,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,1,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Hallo Siegfried,,,Mobile,,,29.11.2022,29.11.2022 10:51:11(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C678 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
51,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,2,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Was brauchst du denn am ehesten für welche?,,Mobile,,,29.11.2022,29.11.2022 10:51:29(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C6CE (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
52,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,3,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Ich wollte heute mal an der Uni mich umschauen.,,Mobile,,,29.11.2022,29.11.2022 10:51:46(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C740 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
53,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,4,System Message System Message,,,,,,,🔒 Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more,,Mobile,"System
",,29.11.2022,29.11.2022 14:30:00(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C637 (Tabelle: message, Größe: 1150976 Bytes)",Nein,,
54,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,5,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Hey Huberta. Wenn du was in Richtung E-Bike oder Rennrad findest wäre das perfekt.,Gelesen,Mobile,,,29.11.2022,29.11.2022 15:08:32(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C7B8 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
55,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,6,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Schick mir bei Gelegenheit mal paar bilder und ich beurteile das dann einmal,Gelesen,Mobile,,,29.11.2022,29.11.2022 15:09:07(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C853 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
56,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,7,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,,,Mobile,,,01.12.2022,01.12.2022 08:49:44(UTC+1),,,,,,,IMG-20221201-WA0000.jpg,"https://mmg.whatsapp.net/d/f/AlRUXZajz7dHPiiUh3-lQwJ1IwJdu_1cqT41_mWlVZJJ.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C8E4 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x168D2 (Tabelle: message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/IMG-20221201-WA0000.jpg :  (Größe: 160182 Bytes)",Nein,,
57,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,8,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,,,Mobile,,,01.12.2022,01.12.2022 08:49:44(UTC+1),,,,,,,IMG-20221201-WA0003.jpg,"https://mmg.whatsapp.net/d/f/Ag2sCJX6DevcithuympvQVka7qcfvEK9xd00Wlw2SFoX.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C92A (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x16AFA (Tabelle: message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/IMG-20221201-WA0003.jpg :  (Größe: 134111 Bytes)",Nein,,
58,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,9,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,,,Mobile,,,01.12.2022,01.12.2022 08:49:45(UTC+1),,,,,,,IMG-20221201-WA0002.jpg,"https://mmg.whatsapp.net/d/f/Aoony4OUFh8IQl6T9ZlTIPLNji6KEMW5emcwY6Ys9gDl.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C970 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x16D23 (Tabelle: message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/IMG-20221201-WA0002.jpg :  (Größe: 150288 Bytes)",Nein,,
59,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,10,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,,,Mobile,,,01.12.2022,01.12.2022 08:49:45(UTC+1),,,,,,,IMG-20221201-WA0001.jpg,"https://mmg.whatsapp.net/d/f/Ag9Ynp8G2dq85q3QkTVcsfchSAbRdOCII50OgelmeN9V.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C9B6 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x16F4C (Tabelle: message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/IMG-20221201-WA0001.jpg :  (Größe: 168070 Bytes)",Nein,,
60,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,11,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Die habe ich gestern gesehen, was meinst du?,,Mobile,,,01.12.2022,01.12.2022 08:49:59(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10C9FC (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
61,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,12,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Das erste finde ich super. Sieht neu und hochwertig aus. Damit könnten wir schonmal anfangen 😉,Gelesen,Mobile,,,01.12.2022,01.12.2022 16:08:03(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CA71 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
62,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,13,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Die marke des bikes kenne ich auch. Das würde ordentlich kohle einbringen,Gelesen,Mobile,,,01.12.2022,01.12.2022 16:08:47(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CB1B (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
